country_code,country,name,role,id_match,year
NED,Netherlands,Guus Hiddink,COACH,300705,2008
ESP,Spain,Luis Aragonés Suárez,COACH,300704,2008
GER,Germany,Otto-Heinz Rehhagel,COACH,300704,2008
ITA,Italy,Roberto Donadoni,COACH,300703,2008
FRA,France,Raymond Domenech,COACH,300703,2008
ROU,Romania,Victor Piturca,COACH,300702,2008
NED,Netherlands,Marco van Basten,COACH,300702,2008
GER,Germany,Joachim Löw,COACH,300700,2008
AUT,Austria,Josef Hickersberger,COACH,300700,2008
CRO,Croatia,Slaven Bilić,COACH,300701,2008
NED,Netherlands,Leo Beenhakker,COACH,300701,2008
CZE,Czechia,Karel Brückner,COACH,300699,2008
TUR,Türkiye,Fatih Terim,COACH,300699,2008
BRA,Brazil,Luiz Felipe Scolari,COACH,300698,2008
SUI,Switzerland,Jakob Kuhn,COACH,300698,2008
NED,Netherlands,Guus Hiddink,COACH,300696,2008
GER,Germany,Otto-Heinz Rehhagel,COACH,300696,2008
ESP,Spain,Luis Aragonés Suárez,COACH,300697,2008
SWE,Sweden,Lars Lagerbäck,COACH,300697,2008
FRA,France,Raymond Domenech,COACH,300694,2008
NED,Netherlands,Marco van Basten,COACH,300694,2008
ROU,Romania,Victor Piturca,COACH,300695,2008
ITA,Italy,Roberto Donadoni,COACH,300695,2008
NED,Netherlands,Leo Beenhakker,COACH,300692,2008
AUT,Austria,Josef Hickersberger,COACH,300692,2008
GER,Germany,Joachim Löw,COACH,300693,2008
CRO,Croatia,Slaven Bilić,COACH,300693,2008
TUR,Türkiye,Fatih Terim,COACH,300690,2008
SUI,Switzerland,Jakob Kuhn,COACH,300690,2008
BRA,Brazil,Luiz Felipe Scolari,COACH,300691,2008
CZE,Czechia,Karel Brückner,COACH,300691,2008
SWE,Sweden,Lars Lagerbäck,COACH,300688,2008
GER,Germany,Otto-Heinz Rehhagel,COACH,300688,2008
NED,Netherlands,Guus Hiddink,COACH,300689,2008
ESP,Spain,Luis Aragonés Suárez,COACH,300689,2008
ITA,Italy,Roberto Donadoni,COACH,300686,2008
NED,Netherlands,Marco van Basten,COACH,300686,2008
FRA,France,Raymond Domenech,COACH,300687,2008
ROU,Romania,Victor Piturca,COACH,300687,2008
NED,Netherlands,Leo Beenhakker,COACH,300685,2008
GER,Germany,Joachim Löw,COACH,300685,2008
CRO,Croatia,Slaven Bilić,COACH,300684,2008
AUT,Austria,Josef Hickersberger,COACH,300684,2008
TUR,Türkiye,Fatih Terim,COACH,300683,2008
BRA,Brazil,Luiz Felipe Scolari,COACH,300683,2008
CZE,Czechia,Karel Brückner,COACH,300682,2008
SUI,Switzerland,Jakob Kuhn,COACH,300682,2008
ITA,Italy,Cesare Prandelli,COACH,2003351,2012
ESP,Spain,Vicente del Bosque,COACH,2003351,2012
ITA,Italy,Cesare Prandelli,COACH,2003379,2012
GER,Germany,Joachim Löw,COACH,2003379,2012
ITA,Italy,Cesare Prandelli,COACH,2003346,2012
ENG,England,Roy Hodgson,COACH,2003346,2012
FRA,France,Laurent Blanc,COACH,2003345,2012
ESP,Spain,Vicente del Bosque,COACH,2003345,2012
POR,Portugal,Fernando Santos,COACH,2003344,2012
GER,Germany,Joachim Löw,COACH,2003344,2012
POR,Portugal,Paulo Bento,COACH,2003343,2012
CZE,Czechia,Michal Bílek,COACH,2003343,2012
FRA,France,Laurent Blanc,COACH,2003341,2012
SWE,Sweden,Erik Hamrén,COACH,2003341,2012
UKR,Ukraine,Oleh Blokhin,COACH,2003342,2012
ENG,England,Roy Hodgson,COACH,2003342,2012
ITA,Italy,Giovanni Trapattoni,COACH,2003340,2012
ITA,Italy,Cesare Prandelli,COACH,2003340,2012
ESP,Spain,Vicente del Bosque,COACH,2003339,2012
CRO,Croatia,Slaven Bilić,COACH,2003339,2012
GER,Germany,Joachim Löw,COACH,2003338,2012
DEN,Denmark,Morten Olsen,COACH,2003338,2012
NED,Netherlands,Bert van Marwijk,COACH,2003337,2012
POR,Portugal,Paulo Bento,COACH,2003337,2012
NED,Netherlands,Dick Advocaat,COACH,2003335,2012
POR,Portugal,Fernando Santos,COACH,2003335,2012
POL,Poland,Franciszek Smuda,COACH,2003336,2012
CZE,Czechia,Michal Bílek,COACH,2003336,2012
ENG,England,Roy Hodgson,COACH,2003333,2012
SWE,Sweden,Erik Hamrén,COACH,2003333,2012
FRA,France,Laurent Blanc,COACH,2003334,2012
UKR,Ukraine,Oleh Blokhin,COACH,2003334,2012
ITA,Italy,Giovanni Trapattoni,COACH,2003332,2012
ESP,Spain,Vicente del Bosque,COACH,2003332,2012
CRO,Croatia,Slaven Bilić,COACH,2003331,2012
ITA,Italy,Cesare Prandelli,COACH,2003331,2012
GER,Germany,Joachim Löw,COACH,2003329,2012
NED,Netherlands,Bert van Marwijk,COACH,2003329,2012
POR,Portugal,Paulo Bento,COACH,2003330,2012
DEN,Denmark,Morten Olsen,COACH,2003330,2012
NED,Netherlands,Dick Advocaat,COACH,2003327,2012
POL,Poland,Franciszek Smuda,COACH,2003327,2012
CZE,Czechia,Michal Bílek,COACH,2003328,2012
POR,Portugal,Fernando Santos,COACH,2003328,2012
SWE,Sweden,Erik Hamrén,COACH,2003325,2012
UKR,Ukraine,Oleh Blokhin,COACH,2003325,2012
ENG,England,Roy Hodgson,COACH,2003326,2012
FRA,France,Laurent Blanc,COACH,2003326,2012
CRO,Croatia,Slaven Bilić,COACH,2003324,2012
ITA,Italy,Giovanni Trapattoni,COACH,2003324,2012
ITA,Italy,Cesare Prandelli,COACH,2003323,2012
ESP,Spain,Vicente del Bosque,COACH,2003323,2012
POR,Portugal,Paulo Bento,COACH,2003322,2012
GER,Germany,Joachim Löw,COACH,2003322,2012
DEN,Denmark,Morten Olsen,COACH,2003321,2012
NED,Netherlands,Bert van Marwijk,COACH,2003321,2012
CZE,Czechia,Michal Bílek,COACH,2003320,2012
NED,Netherlands,Dick Advocaat,COACH,2003320,2012
POR,Portugal,Fernando Santos,COACH,2003319,2012
POL,Poland,Franciszek Smuda,COACH,2003319,2012
FRA,France,Didier Deschamps,COACH,2017907,2016
POR,Portugal,Fernando Santos,COACH,2017907,2016
FRA,France,Didier Deschamps,COACH,2017906,2016
GER,Germany,Joachim Löw,COACH,2017906,2016
WAL,Wales,Chris Coleman,COACH,2017905,2016
POR,Portugal,Fernando Santos,COACH,2017905,2016
SWE,Sweden,Lars Lagerbäck,COACH,2017904,2016
FRA,France,Didier Deschamps,COACH,2017904,2016
ITA,Italy,Antonio Conte,COACH,2017903,2016
GER,Germany,Joachim Löw,COACH,2017903,2016
BEL,Belgium,Marc Wilmots,COACH,2017902,2016
WAL,Wales,Chris Coleman,COACH,2017902,2016
POR,Portugal,Fernando Santos,COACH,2017901,2016
POL,Poland,Adam Nawalka,COACH,2017901,2016
SWE,Sweden,Lars Lagerbäck,COACH,2018003,2016
ENG,England,Roy Hodgson,COACH,2018003,2016
ESP,Spain,Vicente del Bosque,COACH,2018002,2016
ITA,Italy,Antonio Conte,COACH,2018002,2016
BEL,Belgium,Marc Wilmots,COACH,2018001,2016
GER,Germany,Bernd Storck,COACH,2018001,2016
SVK,Slovakia,Ján Kozák,COACH,2018000,2016
GER,Germany,Joachim Löw,COACH,2018000,2016
NIR,Northern Ireland,Martin O'Neill,COACH,2017999,2016
FRA,France,Didier Deschamps,COACH,2017999,2016
POR,Portugal,Fernando Santos,COACH,2017998,2016
CRO,Croatia,Ante Čačić,COACH,2017998,2016
NIR,Northern Ireland,Michael O'Neill,COACH,2017997,2016
WAL,Wales,Chris Coleman,COACH,2017997,2016
POL,Poland,Adam Nawalka,COACH,2017996,2016
SUI,Switzerland,Vladimir Petković,COACH,2017996,2016
BEL,Belgium,Marc Wilmots,COACH,2017957,2016
SWE,Sweden,Erik Hamrén,COACH,2017957,2016
NIR,Northern Ireland,Martin O'Neill,COACH,2017958,2016
ITA,Italy,Antonio Conte,COACH,2017958,2016
POR,Portugal,Fernando Santos,COACH,2017964,2016
GER,Germany,Bernd Storck,COACH,2017964,2016
SUI,Switzerland,Marcel Koller,COACH,2017963,2016
SWE,Sweden,Lars Lagerbäck,COACH,2017963,2016
ESP,Spain,Vicente del Bosque,COACH,2017899,2016
CRO,Croatia,Ante Čačić,COACH,2017899,2016
TUR,Türkiye,Fatih Terim,COACH,2017900,2016
CZE,Czechia,Pavel Vrba,COACH,2017900,2016
GER,Germany,Joachim Löw,COACH,2017897,2016
NIR,Northern Ireland,Michael O'Neill,COACH,2017897,2016
POL,Poland,Adam Nawalka,COACH,2017898,2016
UKR,Ukraine,Mykhailo Fomenko,COACH,2017898,2016
ENG,England,Roy Hodgson,COACH,2017895,2016
SVK,Slovakia,Ján Kozák,COACH,2017895,2016
WAL,Wales,Chris Coleman,COACH,2017896,2016
RUS,Russia,Leonid Slutski,COACH,2017896,2016
FRA,France,Didier Deschamps,COACH,2017893,2016
SUI,Switzerland,Vladimir Petković,COACH,2017893,2016
ITA,Italy,Giovanni de Biasi,COACH,2017894,2016
ROU,Romania,Anghel Iordănescu,COACH,2017894,2016
SUI,Switzerland,Marcel Koller,COACH,2017961,2016
POR,Portugal,Fernando Santos,COACH,2017961,2016
GER,Germany,Bernd Storck,COACH,2017962,2016
SWE,Sweden,Lars Lagerbäck,COACH,2017962,2016
NIR,Northern Ireland,Martin O'Neill,COACH,2017955,2016
BEL,Belgium,Marc Wilmots,COACH,2017955,2016
TUR,Türkiye,Fatih Terim,COACH,2017891,2016
ESP,Spain,Vicente del Bosque,COACH,2017891,2016
CRO,Croatia,Ante Čačić,COACH,2017892,2016
CZE,Czechia,Pavel Vrba,COACH,2017892,2016
SWE,Sweden,Erik Hamrén,COACH,2017956,2016
ITA,Italy,Antonio Conte,COACH,2017956,2016
POL,Poland,Adam Nawalka,COACH,2017889,2016
GER,Germany,Joachim Löw,COACH,2017889,2016
NIR,Northern Ireland,Michael O'Neill,COACH,2017890,2016
UKR,Ukraine,Mykhailo Fomenko,COACH,2017890,2016
WAL,Wales,Chris Coleman,COACH,2017887,2016
ENG,England,Roy Hodgson,COACH,2017887,2016
ITA,Italy,Giovanni de Biasi,COACH,2017885,2016
FRA,France,Didier Deschamps,COACH,2017885,2016
SUI,Switzerland,Vladimir Petković,COACH,2017886,2016
ROU,Romania,Anghel Iordănescu,COACH,2017886,2016
SVK,Slovakia,Ján Kozák,COACH,2017888,2016
RUS,Russia,Leonid Slutski,COACH,2017888,2016
SWE,Sweden,Lars Lagerbäck,COACH,2017959,2016
POR,Portugal,Fernando Santos,COACH,2017959,2016
GER,Germany,Bernd Storck,COACH,2017960,2016
SUI,Switzerland,Marcel Koller,COACH,2017960,2016
ITA,Italy,Antonio Conte,COACH,2017953,2016
BEL,Belgium,Marc Wilmots,COACH,2017953,2016
SWE,Sweden,Erik Hamrén,COACH,2017954,2016
NIR,Northern Ireland,Martin O'Neill,COACH,2017954,2016
CZE,Czechia,Pavel Vrba,COACH,2017883,2016
ESP,Spain,Vicente del Bosque,COACH,2017883,2016
UKR,Ukraine,Mykhailo Fomenko,COACH,2017881,2016
GER,Germany,Joachim Löw,COACH,2017881,2016
NIR,Northern Ireland,Michael O'Neill,COACH,2017882,2016
POL,Poland,Adam Nawalka,COACH,2017882,2016
CRO,Croatia,Ante Čačić,COACH,2017884,2016
TUR,Türkiye,Fatih Terim,COACH,2017884,2016
RUS,Russia,Leonid Slutski,COACH,2017879,2016
ENG,England,Roy Hodgson,COACH,2017879,2016
SVK,Slovakia,Ján Kozák,COACH,2017880,2016
WAL,Wales,Chris Coleman,COACH,2017880,2016
SUI,Switzerland,Vladimir Petković,COACH,2017878,2016
ITA,Italy,Giovanni de Biasi,COACH,2017878,2016
ROU,Romania,Anghel Iordănescu,COACH,2017877,2016
FRA,France,Didier Deschamps,COACH,2017877,2016
ENG,England,Gareth Southgate,COACH,2024491,2020
ITA,Italy,Roberto Mancini,COACH,2024491,2020
DEN,Denmark,Kasper Hjulmand,COACH,2024490,2020
ENG,England,Gareth Southgate,COACH,2024490,2020
ESP,Spain,Luis Enrique,COACH,2024489,2020
ITA,Italy,Roberto Mancini,COACH,2024489,2020
ENG,England,Gareth Southgate,COACH,2024487,2020
UKR,Ukraine,Andriy Shevchenko,COACH,2024487,2020
DEN,Denmark,Kasper Hjulmand,COACH,2024488,2020
CZE,Czechia,Jaroslav Šilhavý,COACH,2024488,2020
ITA,Italy,Roberto Mancini,COACH,2024486,2020
ESP,Spain,Roberto Martínez,COACH,2024486,2020
ESP,Spain,Luis Enrique,COACH,2024485,2020
SUI,Switzerland,Vladimir Petković,COACH,2024485,2020
UKR,Ukraine,Andriy Shevchenko,COACH,2024483,2020
SWE,Sweden,Jan Andersson,COACH,2024483,2020
GER,Germany,Joachim Löw,COACH,2024484,2020
ENG,England,Gareth Southgate,COACH,2024484,2020
SUI,Switzerland,Vladimir Petković,COACH,2024481,2020
FRA,France,Didier Deschamps,COACH,2024481,2020
ESP,Spain,Luis Enrique,COACH,2024482,2020
CRO,Croatia,Zlatko Dalić,COACH,2024482,2020
POR,Portugal,Fernando Santos,COACH,2024479,2020
ESP,Spain,Roberto Martínez,COACH,2024479,2020
CZE,Czechia,Jaroslav Šilhavý,COACH,2024480,2020
NED,Netherlands,Frank de Boer,COACH,2024480,2020
GER,Germany,Franco Foda,COACH,2024477,2020
ITA,Italy,Roberto Mancini,COACH,2024477,2020
DEN,Denmark,Kasper Hjulmand,COACH,2024478,2020
WAL,Wales,Rob Page,COACH,2024478,2020
ITA,Italy,Marco Rossi,COACH,2024475,2020
GER,Germany,Joachim Löw,COACH,2024475,2020
FRA,France,Didier Deschamps,COACH,2024476,2020
POR,Portugal,Fernando Santos,COACH,2024476,2020
POR,Portugal,Paulo Sousa,COACH,2024474,2020
SWE,Sweden,Jan Andersson,COACH,2024474,2020
ESP,Spain,Luis Enrique,COACH,2024473,2020
SVK,Slovakia,Štefan Tarkovič,COACH,2024473,2020
ENG,England,Gareth Southgate,COACH,2024471,2020
CZE,Czechia,Jaroslav Šilhavý,COACH,2024471,2020
SCO,Scotland,Steve Clarke,COACH,2024472,2020
CRO,Croatia,Zlatko Dalić,COACH,2024472,2020
ESP,Spain,Roberto Martínez,COACH,2024470,2020
FIN,Finland,Markku Kanerva,COACH,2024470,2020
DEN,Denmark,Kasper Hjulmand,COACH,2024469,2020
RUS,Russia,Stanislav Cherchesov,COACH,2024469,2020
GER,Germany,Franco Foda,COACH,2024446,2020
UKR,Ukraine,Andriy Shevchenko,COACH,2024446,2020
NED,Netherlands,Frank de Boer,COACH,2024445,2020
MKD,North Macedonia,Igor Angelovski,COACH,2024445,2020
WAL,Wales,Rob Page,COACH,2024468,2020
ITA,Italy,Roberto Mancini,COACH,2024468,2020
TUR,Türkiye,Şenol Güneş,COACH,2024467,2020
SUI,Switzerland,Vladimir Petković,COACH,2024467,2020
POR,Portugal,Paulo Sousa,COACH,2024463,2020
ESP,Spain,Luis Enrique,COACH,2024463,2020
GER,Germany,Joachim Löw,COACH,2024466,2020
POR,Portugal,Fernando Santos,COACH,2024466,2020
FRA,France,Didier Deschamps,COACH,2024465,2020
ITA,Italy,Marco Rossi,COACH,2024465,2020
SCO,Scotland,Steve Clarke,COACH,2024461,2020
ENG,England,Gareth Southgate,COACH,2024461,2020
CZE,Czechia,Jaroslav Šilhavý,COACH,2024462,2020
CRO,Croatia,Zlatko Dalić,COACH,2024462,2020
SVK,Slovakia,Štefan Tarkovič,COACH,2024464,2020
SWE,Sweden,Jan Andersson,COACH,2024464,2020
GER,Germany,Franco Foda,COACH,2024443,2020
NED,Netherlands,Frank de Boer,COACH,2024443,2020
ESP,Spain,Roberto Martínez,COACH,2024459,2020
DEN,Denmark,Kasper Hjulmand,COACH,2024459,2020
MKD,North Macedonia,Igor Angelovski,COACH,2024444,2020
UKR,Ukraine,Andriy Shevchenko,COACH,2024444,2020
SUI,Switzerland,Vladimir Petković,COACH,2024458,2020
ITA,Italy,Roberto Mancini,COACH,2024458,2020
WAL,Wales,Rob Page,COACH,2024457,2020
TUR,Türkiye,Şenol Güneş,COACH,2024457,2020
RUS,Russia,Stanislav Cherchesov,COACH,2024460,2020
FIN,Finland,Markku Kanerva,COACH,2024460,2020
GER,Germany,Joachim Löw,COACH,2024456,2020
FRA,France,Didier Deschamps,COACH,2024456,2020
POR,Portugal,Fernando Santos,COACH,2024455,2020
ITA,Italy,Marco Rossi,COACH,2024455,2020
SWE,Sweden,Jan Andersson,COACH,2024453,2020
ESP,Spain,Luis Enrique,COACH,2024453,2020
SVK,Slovakia,Štefan Tarkovič,COACH,2024454,2020
POR,Portugal,Paulo Sousa,COACH,2024454,2020
CZE,Czechia,Jaroslav Šilhavý,COACH,2024452,2020
SCO,Scotland,Steve Clarke,COACH,2024452,2020
UKR,Ukraine,Andriy Shevchenko,COACH,2024441,2020
NED,Netherlands,Frank de Boer,COACH,2024441,2020
MKD,North Macedonia,Igor Angelovski,COACH,2024442,2020
GER,Germany,Franco Foda,COACH,2024442,2020
CRO,Croatia,Zlatko Dalić,COACH,2024451,2020
